1,1
1,3
1,4
1,5
1,6
1,8
1,12
1,16
1,17
1,19
1,23
1,24
1,26
1,27
1,28
1,29
1,30
1,31
1,33
1,35
1,38
1,39
1,40
1,42
1,43
1,44
1,47
1,48
1,49
1,50
1,51
1,53
1,54
1,55
1,56
1,58
1,61
1,62
1,64
1,68
1,69
1,70
1,75
1,76
1,80
1,82
1,83
1,86
1,87
1,90
1,94
1,96
1,98
1,99
1,100
2,3
2,4
2,5
2,7
2,8
2,10
2,11
2,12
2,15
2,18
2,20
2,21
2,22
2,23
2,31
2,33
2,35
2,36
2,40
2,42
2,43
2,44
2,46
2,48
2,49
2,51
2,53
2,56
2,57
2,59
2,60
2,63
2,64
2,65
2,66
2,67
2,71
2,73
2,74
2,75
2,76
2,77
2,78
2,80
2,81
2,82
2,88
2,89
2,90
2,93
2,94
2,95
2,97
2,99
2,100
3,2
3,3
3,5
3,6
3,9
3,10
3,11
3,13
3,14
3,15
3,16
3,17
3,20
3,21
3,22
3,24
3,25
3,30
3,32
3,35
3,37
3,39
3,43
3,46
3,47
3,50
3,52
3,54
3,55
3,56
3,57
3,59
3,60
3,61
3,63
3,64
3,65
3,69
3,71
3,72
3,74
3,75
3,76
3,79
3,84
3,85
3,88
3,89
3,91
3,92
3,94
3,95
3,97
3,98
3,99
4,1
4,2
4,4
4,6
4,8
4,9
4,10
4,11
4,13
4,16
4,19
4,20
4,24
4,27
4,29
4,30
4,34
4,36
4,37
4,39
4,40
4,41
4,45
4,47
4,48
4,49
4,51
4,53
4,58
4,59
4,60
4,61
4,63
4,70
4,72
4,74
4,81
4,82
4,85
4,90
4,92
4,95
4,96
4,98
